 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  1.2159E-05  2.4629E-16  1.0564E+03  2.1517E-06  7.1158E-07  5.7180E-07  1.8514E-07
  1.2312E-05  2.4957E-16  1.0567E+03  2.1592E-06  7.1325E-07  6.1416E-07  1.9779E-07
  1.2466E-05  2.5288E-16  1.0570E+03  2.1663E-06  7.1484E-07  6.5893E-07  2.1111E-07
  1.2623E-05  2.5624E-16  1.0573E+03  2.1732E-06  7.1636E-07  7.0622E-07  2.2512E-07
  1.2782E-05  2.5965E-16  1.0576E+03  2.1798E-06  7.1781E-07  7.5618E-07  2.3988E-07
  1.2942E-05  2.6310E-16  1.0579E+03  2.1861E-06  7.1919E-07  8.0895E-07  2.5541E-07
  1.3105E-05  2.6659E-16  1.0582E+03  2.1922E-06  7.2052E-07  8.6470E-07  2.7175E-07
  1.3270E-05  2.7013E-16  1.0585E+03  2.1981E-06  7.2179E-07  9.2357E-07  2.8895E-07
  1.3437E-05  2.7371E-16  1.0588E+03  2.2038E-06  7.2302E-07  9.8573E-07  3.0705E-07
  1.3605E-05  2.7734E-16  1.0590E+03  2.2093E-06  7.2419E-07  1.0514E-06  3.2611E-07
  1.3776E-05  2.8102E-16  1.0593E+03  2.2146E-06  7.2533E-07  1.1207E-06  3.4616E-07
  1.3950E-05  2.8475E-16  1.0596E+03  2.2197E-06  7.2643E-07  1.1939E-06  3.6727E-07
  1.4125E-05  2.8852E-16  1.0599E+03  2.2246E-06  7.2749E-07  1.2711E-06  3.8949E-07
  1.4302E-05  2.9235E-16  1.0602E+03  2.2294E-06  7.2851E-07  1.3526E-06  4.1287E-07
  1.4482E-05  2.9622E-16  1.0605E+03  2.2341E-06  7.2951E-07  1.4387E-06  4.3748E-07
  1.4664E-05  3.0014E-16  1.0608E+03  2.2386E-06  7.3047E-07  1.5295E-06  4.6339E-07
  1.4849E-05  3.0411E-16  1.0611E+03  2.2430E-06  7.3140E-07  1.6253E-06  4.9065E-07
  1.5035E-05  3.0814E-16  1.0614E+03  2.2472E-06  7.3230E-07  1.7264E-06  5.1935E-07
  1.5249E-05  3.1288E-16  1.0617E+03  2.2513E-06  7.3318E-07  1.8361E-06  5.5045E-07
  1.5529E-05  3.1936E-16  1.0622E+03  2.2554E-06  7.3402E-07  1.9612E-06  5.8593E-07
